id,amount,date,description,currency,reference,source
pay-6a1b2c3d4e5f,152.75,2025-03-17T06:32:49Z,Invoice settlement,USD,ext_txn_001_txn_001,Stripe
pay-7b2c3d4e5f6g,328.8,2025-03-17T06:35:10Z,Refund processing,USD,ext_txn_002_txn_002,Stripe
pay-8c3d4e5f6g7h,90.0,2025-03-17T06:37:22Z,Service charge,USD,ext_txn_003_txn_003,Stripe
pay-9d4e5f6g7h8i,417.0,2025-03-17T06:39:45Z,Payment for goods,USD,ext_txn_004_txn_004,Stripe
pay-ae5f6g7h8i9j,278.0,2025-03-17T06:41:12Z,Subscription fee,USD,ext_txn_005_txn_005,Stripe
pay-bf6g7h8i9j0k,250.0,2025-03-17T06:43:29Z,Expense reimbursement,USD,ext_txn_006_txn_006,Stripe
pay-cg7h8i9j0k1l,545.0,2025-03-17T06:45:55Z,Project funding,USD,ext_txn_007_txn_007,Stripe
pay-dh8i9j0k1l2m,150.0,2025-03-17T06:48:03Z,Loan repayment,USD,ext_txn_008_txn_008,Stripe
pay-ei9j0k1l2m3n,92.8,2025-03-17T06:50:22Z,Freelance payment,USD,ext_txn_009_txn_009,Stripe
pay-fj0k1l2m3n4o,399.99,2025-03-17T06:52:30Z,Revenue share,USD,ext_txn_010_txn_010,Stripe
